#SampleID,Vendor,Timepoint,Diet,Sex,Group,Identity
JP306,CR,Baseline,Chow,Female,CR_Baseline,CF_Baseline_Jej.
JP307,CR,Baseline,Chow,Female,CR_Baseline,CF_Baseline_Jej.
JP308,CR,Baseline,Chow,Female,CR_Baseline,CF_Baseline_Jej.
JP309,CR,Baseline,Chow,Male,CR_Baseline,CM_Baseline_Jej.
JP310,CR,Baseline,Chow,Male,CR_Baseline,CM_Baseline_Jej.
JP311,CR,Baseline,Chow,Male,CR_Baseline,CM_Baseline_Jej.
JP312,Tac,Baseline,Chow,Female,Tac_Baseline,TF_Baseline_Jej
JP313,Tac,Baseline,Chow,Female,Tac_Baseline,TF_Baseline_Jej
JP314,Tac,Baseline,Chow,Female,Tac_Baseline,TF_Baseline_Jej
JP315,Tac,Baseline,Chow,Male,Tac_Baseline,TM_Baseline_Jej
JP316,Tac,Baseline,Chow,Male,Tac_Baseline,TM_Baseline_Jej
JP317,Tac,Baseline,Chow,Male,Tac_Baseline,TM_Baseline_Jej
JP318,Envigo,Baseline,Chow,Female,Env_Baseline,VF_Baseline_Jej.
JP319,Envigo,Baseline,Chow,Female,Env_Baseline,VF_Baseline_Jej.
JP320,Envigo,Baseline,Chow,Female,Env_Baseline,VF_Baseline_Jej.
JP321,Envigo,Baseline,Chow,Male,Env_Baseline,VM_Baseline_Jej.
JP322,Envigo,Baseline,Chow,Male,Env_Baseline,VM_Baseline_Jej.
JP323,Envigo,Baseline,Chow,Male,Env_Baseline,VM_Baseline_Jej.
JP324,JAX,Baseline,Chow,Female,Jax_Baseline,XF_Baseline_Jej
JP325,JAX,Baseline,Chow,Female,Jax_Baseline,XF_Baseline_Jej
JP326,JAX,Baseline,Chow,Female,Jax_Baseline,XF_Baseline_Jej
JP327,JAX,Baseline,Chow,Male,Jax_Baseline,XM_Baseline_Jej
JP328,JAX,Baseline,Chow,Male,Jax_Baseline,XM_Baseline_Jej
JP329,JAX,Baseline,Chow,Male,Jax_Baseline,XM_Baseline_Jej
JP330,CR,Endpoint,HFD,Female,CR_HFD,CF_HFD
JP331,CR,Endpoint,HFD,Female,CR_HFD,CF_HFD
JP348,CR,Endpoint,HFD,Female,CR_HFD,CF_HFD
JP332,CR,Endpoint,HFD,Male,CR_HFD,CM_HFD
JP333,CR,Endpoint,HFD,Male,CR_HFD,CM_HFD
JP355,CR,Endpoint,HFD,Male,CR_HFD,CM_HFD
JP335,Tac,Endpoint,HFD,Female,Tac_HFD,TF_HFD
JP361,Tac,Endpoint,HFD,Female,Tac_HFD,TF_HFD
JP362,Tac,Endpoint,HFD,Female,Tac_HFD,TF_HFD
JP336,Tac,Endpoint,HFD,Male,Tac_HFD,TM_HFD
JP337,Tac,Endpoint,HFD,Male,Tac_HFD,TM_HFD
JP369,Tac,Endpoint,HFD,Male,Tac_HFD,TM_HFD
JP338,Envigo,Endpoint,HFD,Female,Env_HFD,VF_HFD
JP339,Envigo,Endpoint,HFD,Female,Env_HFD,VF_HFD
JP340,Envigo,Endpoint,HFD,Female,Env_HFD,VF_HFD
JP341,Envigo,Endpoint,HFD,Male,Env_HFD,VM_HFD
JP342,Envigo,Endpoint,HFD,Male,Env_HFD,VM_HFD
