#SampleID,Vendor,Timepoint,Diet,Sex,Group
JP306,CR,Baseline,Chow,Female,CR_Baseline
JP307,CR,Baseline,Chow,Female,CR_Baseline
JP308,CR,Baseline,Chow,Female,CR_Baseline
JP309,CR,Baseline,Chow,Male,CR_Baseline
JP310,CR,Baseline,Chow,Male,CR_Baseline
JP311,CR,Baseline,Chow,Male,CR_Baseline
JP312,Tac,Baseline,Chow,Female,Tac_Baseline
JP313,Tac,Baseline,Chow,Female,Tac_Baseline
JP314,Tac,Baseline,Chow,Female,Tac_Baseline
JP315,Tac,Baseline,Chow,Male,Tac_Baseline
JP316,Tac,Baseline,Chow,Male,Tac_Baseline
JP317,Tac,Baseline,Chow,Male,Tac_Baseline
JP318,Envigo,Baseline,Chow,Female,Env_Baseline
JP319,Envigo,Baseline,Chow,Female,Env_Baseline
JP320,Envigo,Baseline,Chow,Female,Env_Baseline
JP321,Envigo,Baseline,Chow,Male,Env_Baseline
JP322,Envigo,Baseline,Chow,Male,Env_Baseline
JP323,Envigo,Baseline,Chow,Male,Env_Baseline
JP324,JAX,Baseline,Chow,Female,Jax_Baseline
JP325,JAX,Baseline,Chow,Female,Jax_Baseline
JP326,JAX,Baseline,Chow,Female,Jax_Baseline
JP327,JAX,Baseline,Chow,Male,Jax_Baseline
JP328,JAX,Baseline,Chow,Male,Jax_Baseline
JP329,JAX,Baseline,Chow,Male,Jax_Baseline
JP330,CR,Endpoint,HFD,Female,CR_HFD
JP331,CR,Endpoint,HFD,Female,CR_HFD
JP348,CR,Endpoint,HFD,Female,CR_HFD
JP332,CR,Endpoint,HFD,Male,CR_HFD
JP333,CR,Endpoint,HFD,Male,CR_HFD
JP355,CR,Endpoint,HFD,Male,CR_HFD
JP335,Tac,Endpoint,HFD,Female,Tac_HFD
JP361,Tac,Endpoint,HFD,Female,Tac_HFD
JP362,Tac,Endpoint,HFD,Female,Tac_HFD
JP336,Tac,Endpoint,HFD,Male,Tac_HFD
JP337,Tac,Endpoint,HFD,Male,Tac_HFD
JP369,Tac,Endpoint,HFD,Male,Tac_HFD
JP338,Envigo,Endpoint,HFD,Female,Env_HFD
JP339,Envigo,Endpoint,HFD,Female,Env_HFD
JP340,Envigo,Endpoint,HFD,Female,Env_HFD
JP341,Envigo,Endpoint,HFD,Male,Env_HFD
JP342,Envigo,Endpoint,HFD,Male,Env_HFD
JP343,Envigo,Endpoint,HFD,Male,Env_HFD
JP344,JAX,Endpoint,HFD,Female,Jax_HFD
JP345,JAX,Endpoint,HFD,Female,Jax_HFD
JP388,JAX,Endpoint,HFD,Female,Jax_HFD
JP346,JAX,Endpoint,HFD,Male,Jax_HFD
JP347,JAX,Endpoint,HFD,Male,Jax_HFD
JP395,JAX,Endpoint,HFD,Male,Jax_HFD
JP349,CR,Endpoint,LFD,Female,CR_LFD
JP350,CR,Endpoint,LFD,Female,CR_LFD
JP351,CR,Endpoint,LFD,Female,CR_LFD
JP356,CR,Endpoint,LFD,Male,CR_LFD
JP357,CR,Endpoint,LFD,Male,CR_LFD
JP358,CR,Endpoint,LFD,Male,CR_LFD
JP363,Tac,Endpoint,LFD,Female,Tac_LFD
JP364,Tac,Endpoint,LFD,Female,Tac_LFD
JP365,Tac,Endpoint,LFD,Female,Tac_LFD
JP370,Tac,Endpoint,LFD,Male,Tac_LFD
JP371,Tac,Endpoint,LFD,Male,Tac_LFD
JP372,Tac,Endpoint,LFD,Male,Tac_LFD
JP376,Envigo,Endpoint,LFD,Female,Env_LFD
JP377,Envigo,Endpoint,LFD,Female,Env_LFD
JP378,Envigo,Endpoint,LFD,Female,Env_LFD
JP382,Envigo,Endpoint,LFD,Male,Env_LFD
JP383,Envigo,Endpoint,LFD,Male,Env_LFD
JP384,Envigo,Endpoint,LFD,Male,Env_LFD
JP389,JAX,Endpoint,LFD,Female,Jax_LFD
JP390,JAX,Endpoint,LFD,Female,Jax_LFD
JP391,JAX,Endpoint,LFD,Female,Jax_LFD
JP396,JAX,Endpoint,LFD,Male,Jax_LFD
JP397,JAX,Endpoint,LFD,Male,Jax_LFD
JP398,JAX,Endpoint,LFD,Male,Jax_LFD
JP352,CR,Endpoint,Chow,Female,CR_Chow
JP353,CR,Endpoint,Chow,Female,CR_Chow
JP354,CR,Endpoint,Chow,Female,CR_Chow
