Taxa,P Group,FDR Group,P adjusted Group,Male - CR_Chow mean,Female - CR_LFD mean,Female - CR_Chow mean,Male - CR_LFD mean,Female - Tac_Chow mean,Male - Tac_LFD mean,Male - Tac_Chow mean,Female - Env_LFD mean,Female - Env_Chow mean,Male - Env_LFD mean,Male - Env_Chow mean,Female - Jax_LFD mean,Female - JAX_Chow mean,Male - Jax_LFD mean,Male - JAX_Chow mean
Thermomyces,0.0000011,0.000067,0.000067,0.76,9.88,0.043,2.39,1.36,0,1.62,0,0,5.8,0.037,0,0.027,4.8,0
Saccharomyces,0.000046,0.0014,0.0028,3.32,0,3.04,0.025,3.98,1.95,2.45,0.16,2.66,0,3.52,0.62,2.87,0,4.07
unidentified,0.00014,0.0026,0.0083,2.77,0,1.56,0.14,1.99,0,1.78,3.3,3.77,0.07,2.54,0,1.23,0,2.9
Unclassified,0.00017,0.0026,0.0099,1.6,1.49,4.71,0.9,4.23,2.8,2.84,0.16,2.94,1.32,5.71,0,2.98,0,4.1
Penicillium,0.00032,0.0039,0.018,4.07,0,1.31,3.37,2.7,0,4.8,0,2.72,4.05,2.32,0,3.63,1.58,3.39
Fusarium,0.00047,0.0048,0.026,0.68,0,2.31,0,2.52,0,3.04,0,1.07,0.19,1.62,0,1.21,0.9,0.88
Aspergillus,0.0014,0.012,0.077,4.64,0.25,4.49,6.38,1.94,3.67,2.62,0.4,3.57,5.64,1.23,0.62,0.98,4.27,2.33
Trichothecium,0.0018,0.013,0.097,0,0,0,0,0,0,0,9.42,0,0,0,0,0,0,0
Sarocladium,0.0021,0.013,0.11,0.94,0,3.06,0.62,1.01,0,1.14,0,0.86,0.84,1.91,0,2.43,0.8,2.49
Cladosporium,0.0021,0.013,0.11,2.25,0,1.78,0.66,1.28,3.32,3.86,0,1.59,0.32,2.42,9.96,0.82,1.12,3.39
Nigrospora,0.0028,0.016,0.14,0.31,0,0,0,0,0,0.41,0,0.55,0,0.31,0,0.027,3.64,0
Talaromyces,0.0096,0.049,0.48,1.26,0,0.61,0.94,0.99,0,0.067,0,0.15,1.85,3.06,0,4.24,0.56,0.32
Toxicocladosporium,0.058,0.27,1,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
Trichoderma,0.083,0.36,1,1.2,0,0,0,0,0,0,0,0.33,0,1.96,0,0,0.88,0.44
